#organism	nchr	16Scopy	nprot	nprot_w_function	lineage
Nitrosomonas_europaea_ATCC_19718_uid57647	1	1	2461	1413	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Nitrosomonadales;f:Nitrosomonadaceae;g:Nitrosomonas;s:Nitrosomonaseuropaea
Synechocystis_PCC_6803_substr__GT_I_uid157913	1	2	3169	1443	k:Bacteria;p:Cyanobacteria;c:undef;o:Chroococcales;f:undef;g:Synechocystis;s:undef
Yersinia_enterocolitica_palearctica_Y11_uid162069	1	7	4349	2591	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Yersinia;s:Yersiniaenterocolitica
Orientia_tsutsugamushi_Boryong_uid61621	1	1	1182	550	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Orientia;s:Orientiatsutsugamushi
Geobacillus_thermodenitrificans_NG80_2_uid58829	1	10	3392	1894	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Geobacillus;s:Geobacillusthermodenitrificans
Clostridium_cellulovorans_743B_uid51503	1	9	4254	1701	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae;g:Clostridium;s:Clostridiumcellulovorans
Anabaena_90_uid179383	2	5	4354	1478	k:Bacteria;p:Cyanobacteria;c:undef;o:Nostocales;f:Nostocaceae;g:Anabaena;s:undef
Teredinibacter_turnerae_T7901_uid59267	1	3	4254	1870	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:undef;g:Teredinibacter;s:Teredinibacterturnerae
Buchnera_aphidicola_JF98__Acyrthosiphon_pisum__uid158845	1	1	477	413	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Buchnera;s:Buchneraaphidicola
Burkholderia_multivorans_ATCC_17616_uid58697	3	5	6120	2950	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae;g:Burkholderia;s:Burkholderiamultivorans
Sodalis_glossinidius__morsitans__uid58553	1	7	2432	1591	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Sodalis;s:Sodalisglossinidius
Thermogladius_1633_uid167488	1	1	1413	742	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Desulfurococcales;f:Desulfurococcaceae;g:Thermogladius;s:Thermogladiuscellulolyticus
Ralstonia_pickettii_12J_uid58737	2	3	4862	2403	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae;g:Ralstonia;s:Ralstoniapickettii
Nostoc_PCC_7107_uid182932	1	4	5237	1708	k:Bacteria;p:Cyanobacteria;c:undef;o:Nostocales;f:Nostocaceae;g:Nostoc;s:undef
Synechococcus_JA_3_3Ab_uid58535	1	2	2760	1321	k:Bacteria;p:Cyanobacteria;c:undef;o:Chroococcales;f:undef;g:Synechococcus;s:undef
Rickettsia_heilongjiangensis_054_uid70839	1	1	1297	649	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:Rickettsiaheilongjiangensis
Ehrlichia_ruminantium_Welgevonden_uid58013	1	1	888	583	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Anaplasmataceae;g:Ehrlichia;s:Ehrlichiaruminantium
Thermus_thermophilus_JL_18_uid162129	1	2	1981	1092	k:Bacteria;p:Deinococcus-Thermus;c:Deinococci;o:Thermales;f:Thermaceae;g:Thermus;s:Thermusthermophilus
Bacillus_thuringiensis_HD_789_uid173860	1	14	5551	2227	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:Bacillusthuringiensis
Rahnella_aquatilis_HX2_uid158049	1	7	4443	2720	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Rahnella;s:Rahnellaaquatilis
Pseudomonas_aeruginosa_LESB58_uid59275	1	4	5925	3014	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonasaeruginosa
Streptococcus_equi_zooepidemicus_MGCS10565_uid59263	1	5	1893	1050	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcusequi
Escherichia_coli_O26_H11_11368_uid41021	1	7	5360	3123	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Bordetella_bronchiseptica_RB50_uid57613	1	3	4994	2525	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Alcaligenaceae;g:Bordetella;s:Bordetellabronchiseptica
Mycobacterium_smegmatis_JS623_uid184820	1	2	6186	1958	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacterium;s:Mycobacteriumsmegmatis
Desulfovibrio_salexigens_DSM_2638_uid59223	1	5	3807	1778	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfovibrionales;f:Desulfovibrionaceae;g:Desulfovibrio;s:Desulfovibriosalexigens
Xanthomonas_axonopodis_Xac29_1_uid193774	1	2	4244	1996	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonasaxonopodis
Salmonella_enterica_serovar_Paratyphi_A_ATCC_9150_uid58201	1	7	4096	2749	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Salmonella;s:Salmonellaenterica
Bacillus_subtilis_natto_BEST195_uid183001	1	10	4375	2030	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Bacillus;s:Bacillussubtilis
Lactobacillus_sanfranciscensis_TMW_1_1304_uid72937	1	7	1217	723	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillussanfranciscensis
Helicobacter_cetorum_MIT_00_7128_uid162217	1	2	1717	906	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobactercetorum
Escherichia_coli_UTI89_uid58541	1	7	5017	3030	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Sphingobium_SYK_6_uid73353	1	2	3912	1679	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales;f:Sphingomonadaceae;g:Sphingobium;s:undef
Listeria_monocytogenes_SLCC2376_uid175111	1	6	2755	1517	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeriamonocytogenes
Helicobacter_acinonychis_Sheeba_uid58685	1	2	1613	938	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacteracinonychis
Brucella_microti_CCM_4915_uid59319	2	3	3282	1813	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Brucellaceae;g:Brucella;s:Brucellamicroti
Chlamydia_trachomatis_L3_404_LN_uid196797	1	2	888	525	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiatrachomatis
Bacteriovorax_marinus_SJ_uid82341	1	2	3230	1277	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Bdellovibrionales;f:Halobacteriovoraceae;g:Halobacteriovorax;s:Halobacteriovoraxmarinus
Vibrio_cholerae_O395_uid58425	2	8	3875	2283	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Vibrionales;f:Vibrionaceae;g:Vibrio;s:Vibriocholerae
Streptomyces_albus_J1074_uid196849	1	7	5832	1995	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Streptomycetales;f:Streptomycetaceae;g:Streptomyces;s:Streptomycesalbus
Picrophilus_torridus_DSM_9790_uid58041	1	1	1537	877	k:Archaea;p:Euryarchaeota;c:Thermoplasmata;o:Thermoplasmatales;f:Picrophilaceae;g:Picrophilus;s:Picrophilustorridus
Methanosalsum_zhilinae_DSM_4017_uid68249	1	3	1976	1073	k:Archaea;p:Euryarchaeota;c:Methanomicrobia;o:Methanosarcinales;f:Methanosarcinaceae;g:Methanosalsum;s:Methanosalsumzhilinae
Mycoplasma_capricolum_ATCC_27343_uid58525	1	2	812	444	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmacapricolum
Rickettsia_prowazekii_Rp22_uid161945	1	1	950	599	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:Rickettsiaprowazekii
Lactobacillus_amylovorus_GRL1118_uid160233	1	4	1842	906	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillusamylovorus
Candidatus_Portiera_aleyrodidarum_BT_QVLC_uid175570	1	1	246	232	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Oceanospirillales;f:Halomonadaceae;g:Portiera;s:Portieraaleyrodidarum
Pseudomonas_aeruginosa_UCBPP_PA14_uid57977	1	4	5892	3021	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales;f:Pseudomonadaceae;g:Pseudomonas;s:Pseudomonasaeruginosa
Staphylococcus_aureus_04_02981_uid161969	1	5	2648	1406	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae;g:Staphylococcus;s:Staphylococcusaureus
Helicobacter_pylori_35A_uid49903	1	2	1470	895	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacterpylori
Rhodococcus_jostii_RHA1_uid58325	1	4	7211	2875	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Nocardiaceae;g:Rhodococcus;s:Rhodococcusjostii
Clostridium_acetobutylicum_ATCC_824_uid57677	1	11	3671	1669	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiaceae;g:Clostridium;s:Clostridiumacetobutylicum
Borrelia_garinii_BgVir_uid162165	1	1	826	515	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Borreliaceae;g:Borrelia;s:Borreliagarinii
Shigella_flexneri_2a_301_uid62907	1	7	4076	2576	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Shigella;s:Shigellaflexneri
Methanosphaerula_palustris_E1_9c_uid59193	1	3	2655	1105	k:Archaea;p:Euryarchaeota;c:Methanomicrobia;o:Methanomicrobiales;f:Methanoregulaceae;g:Methanosphaerula;s:Methanosphaerulapalustris
Escherichia_coli_ABU_83972_uid161975	1	7	4792	2971	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Escherichia;s:Escherichiacoli
Helicobacter_pylori_Aklavik117_uid182201	1	2	1520	888	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacterpylori
Nostoc_PCC_7524_uid182933	1	5	5355	1786	k:Bacteria;p:Cyanobacteria;c:undef;o:Nostocales;f:Nostocaceae;g:Nostoc;s:undef
Desulfitobacterium_dichloroeliminans_LMG_P_21439_uid82555	1	6	3340	1527	k:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptococcaceae;g:Desulfitobacterium;s:Desulfitobacteriumdichloroeliminans
Methanocaldococcus_vulcanius_M7_uid41131	1	2	1727	993	k:Archaea;p:Euryarchaeota;c:Methanococci;o:Methanococcales;f:Methanocaldococcaceae;g:Methanocaldococcus;s:Methanocaldococcusvulcanius
Dehalococcoides_BAV1_uid58477	1	1	1371	759	k:Bacteria;p:Chloroflexi;c:Dehalococcoidia;o:Dehalococcoidales;f:Dehalococcoidaceae;g:Dehalococcoides;s:Dehalococcoidesmccartyi
Desulfurococcus_kamchatkensis_1221n_uid59133	1	1	1471	725	k:Archaea;p:Crenarchaeota;c:Thermoprotei;o:Desulfurococcales;f:Desulfurococcaceae;g:Desulfurococcus;s:Desulfurococcuskamchatkensis
Borrelia_afzelii_PKo_uid159867	1	1	824	522	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Borreliaceae;g:Borrelia;s:Borreliaafzelii
Elusimicrobium_minutum_Pei191_uid58949	1	1	1529	738	k:Bacteria;p:Elusimicrobia;c:Elusimicrobia;o:Elusimicrobiales;f:Elusimicrobiaceae;g:Elusimicrobium;s:Elusimicrobiumminutum
Chlamydia_trachomatis_Ia_SotonIa1_uid196780	1	2	894	526	k:Bacteria;p:Chlamydiae;c:Chlamydiia;o:Chlamydiales;f:Chlamydiaceae;g:Chlamydia;s:Chlamydiatrachomatis
Shewanella_putrefaciens_CN_32_uid58267	1	8	3972	2174	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Shewanellaceae;g:Shewanella;s:Shewanellaputrefaciens
Lactobacillus_plantarum_ZJ316_uid188689	1	5	3159	1384	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae;g:Lactobacillus;s:Lactobacillusplantarum
Helicobacter_pylori_v225d_uid159639	1	2	1540	897	k:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales;f:Helicobacteraceae;g:Helicobacter;s:Helicobacterpylori
Brucella_ovis_ATCC_25840_uid58113	2	3	2889	1607	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Brucellaceae;g:Brucella;s:Brucellaovis
Photorhabdus_asymbiotica_ATCC_43949_uid59243	1	7	4390	2221	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Photorhabdus;s:Photorhabdusasymbiotica
Wolbachia_endosymbiont_of_Culex_quinquefasciatus_Pel_uid61645	1	1	1275	598	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Anaplasmataceae;g:Wolbachia;s:Wolbachiaendosymbiont
Micromonospora_aurantiaca_ATCC_27029_uid42501	1	3	6222	2074	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micromonosporales;f:Micromonosporaceae;g:Micromonospora;s:Micromonosporaaurantiaca
Blattabacterium__Blattella_germanica__Bge_uid41533	1	1	586	490	k:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Blattabacteriaceae;g:Blattabacterium;s:undef
Geobacter_M18_uid55771	1	4	4434	1830	k:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfuromonadales;f:Geobacteraceae;g:Geobacter;s:undef
Bartonella_quintana_Toulouse_uid57635	1	2	1142	825	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Bartonellaceae;g:Bartonella;s:Bartonellaquintana
Bradyrhizobium_BTAi1_uid58505	1	2	7393	3334	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales;f:Bradyrhizobiaceae;g:Bradyrhizobium;s:undef
Tepidanaerobacter_Re1_uid66873	1	2	2524	1375	k:Bacteria;p:Firmicutes;c:Clostridia;o:Thermoanaerobacterales;f:Thermoanaerobacteraceae;g:Tepidanaerobacter;s:Tepidanaerobacteracetatoxydans
Photorhabdus_luminescens_laumondii_TTO1_uid61593	1	7	4683	2299	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Photorhabdus;s:Photorhabdusluminescens
Methanosaeta_thermophila_PT_uid58469	1	2	1696	840	k:Archaea;p:Euryarchaeota;c:Methanomicrobia;o:Methanosarcinales;f:Methanosaetaceae;g:Methanosaeta;s:Methanosaetathermophila
Pseudogulbenkiania_NH8B_uid73423	1	8	4012	2245	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Neisseriales;f:Chromobacteriaceae;g:Pseudogulbenkiania;s:undef
Micavibrio_aeruginosavorus_ARL_13_uid73585	1	1	2432	1030	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:undef;f:undef;g:Micavibrio;s:Micavibrioaeruginosavorus
Mycoplasma_gallisepticum_NC06_2006_080_5_2P_uid172629	1	2	744	381	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmagallisepticum
Mycoplasma_conjunctivae_uid59325	1	1	692	366	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmaconjunctivae
Rickettsia_massiliae_MTU5_uid58801	1	1	968	644	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:Rickettsiamassiliae
Solitalea_canadensis_DSM_3403_uid81783	1	4	4310	1482	k:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Sphingobacteriaceae;g:Solitalea;s:Solitaleacanadensis
Xanthomonas_oryzae_oryzicola_BLS256_uid54411	1	2	4474	1841	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Xanthomonadales;f:Xanthomonadaceae;g:Xanthomonas;s:Xanthomonasoryzae
Prochlorococcus_marinus_MIT_9303_uid58305	1	2	2997	1129	k:Bacteria;p:Cyanobacteria;c:undef;o:Prochlorales;f:Prochlorococcaceae;g:Prochlorococcus;s:Prochlorococcusmarinus
Wolbachia_endosymbiont_TRS_of_Brugia_malayi_uid58107	1	1	805	537	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Anaplasmataceae;g:Wolbachia;s:Wolbachiaendosymbiont
Methanoregula_boonei_6A8_uid58815	1	1	2452	1059	k:Archaea;p:Euryarchaeota;c:Methanomicrobia;o:Methanomicrobiales;f:Methanoregulaceae;g:Methanoregula;s:Methanoregulaboonei
Listeria_monocytogenes_M7_uid162131	1	6	2977	1527	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Listeriaceae;g:Listeria;s:Listeriamonocytogenes
Bifidobacterium_animalis_lactis_CNCM_I_2494_uid158869	1	4	1660	805	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium;s:Bifidobacteriumanimalis
Rickettsia_philipii_364D_uid89383	1	1	1344	643	k:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rickettsiales;f:Rickettsiaceae;g:Rickettsia;s:Rickettsiaphilipii
Streptococcus_pneumoniae_ST556_uid162191	1	4	2148	1116	k:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae;g:Streptococcus;s:Streptococcuspneumoniae
Spirochaeta_africana_DSM_8902_uid81779	1	3	2782	1236	k:Bacteria;p:Spirochaetes;c:Spirochaetia;o:Spirochaetales;f:Spirochaetaceae;g:Spirochaeta;s:Spirochaetaafricana
Mannheimia_haemolytica_USDA_ARS_USMARC_183_uid195458	1	6	2731	1535	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae;g:Mannheimia;s:Mannheimiahaemolytica
Legionella_pneumophila_Paris_uid58211	1	3	3027	1460	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Legionellales;f:Legionellaceae;g:Legionella;s:Legionellapneumophila
Chromobacterium_violaceum_ATCC_12472_uid58001	1	8	4405	2299	k:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Neisseriales;f:Chromobacteriaceae;g:Chromobacterium;s:Chromobacteriumviolaceum
Tropheryma_whipplei_Twist_uid57705	1	1	808	534	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:undef;g:Tropheryma;s:Tropherymawhipplei
Methanothermus_fervidus_DSM_2088_uid60167	1	2	1283	831	k:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanothermaceae;g:Methanothermus;s:Methanothermusfervidus
Amycolatopsis_mediterranei_S699_uid171830	1	4	9222	2663	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Pseudonocardiales;f:Pseudonocardiaceae;g:Amycolatopsis;s:Amycolatopsismediterranei
Geobacillus_thermoglucosidasius_C56_YS93_uid48129	1	10	3676	1927	k:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae;g:Geobacillus;s:Geobacillusthermoglucosidasius
Rothia_mucilaginosa_uid43093	1	3	1904	928	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Micrococcales;f:Micrococcaceae;g:Rothia;s:Rothiamucilaginosa
Mycobacterium_massiliense_GO_06_uid170732	1	1	2626	1383	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Corynebacteriales;f:Mycobacteriaceae;g:Mycobacterium;s:Mycobacteriumabscessus
Actinosynnema_mirum_DSM_43827_uid58951	1	5	6916	2108	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Pseudonocardiales;f:Pseudonocardiaceae;g:Actinosynnema;s:Actinosynnemamirum
Blastococcus_saxobsidens_DD2_uid89391	1	3	4817	1698	k:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Geodermatophilales;f:Geodermatophilaceae;g:Blastococcus;s:Blastococcussaxobsidens
Mycoplasma_arthritidis_158L3_1_uid58005	1	1	631	346	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmaarthritidis
Mycoplasma_synoviae_53_uid58061	1	2	659	378	k:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales;f:Mycoplasmataceae;g:Mycoplasma;s:Mycoplasmasynoviae
Bacteroides_fragilis_YCH46_uid58195	1	6	4577	1311	k:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Bacteroidaceae;g:Bacteroides;s:Bacteroidesfragilis
Shigella_flexneri_5_8401_uid58583	1	7	4114	2705	k:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Enterobacteriales;f:Enterobacteriaceae;g:Shigella;s:Shigellaflexneri
Methanocaldococcus_FS406_22_uid42499	1	2	1804	1028	k:Archaea;p:Euryarchaeota;c:Methanococci;o:Methanococcales;f:Methanocaldococcaceae;g:Methanocaldococcus;s:undef
